"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"71","Black-throated Blue Warbler",1970,2017,"Setophaga caerulescens",1995,"Boreal Forest","Caribbean","Parulidae","landbird","M","other","native",2415903,2069260,2822969,2006,2015,"PIF0615","BBS7017",192272.704081633,"Black-throated Blue Warbler",71,1,3,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-1429556.55709772,222101.068847343,-1904787.11113329,-1416640.71138146,-1030905.70921641,-1904787.11113329,-1568736.55442815,-1275428.04525068,-1030905.70921641,1260598.07091841,104422.424108649,1060274.95915476,1259399.55901808,1465919.33793886,1060274.95915476,1189263.20664355,1330467.18408066,1465919.33793886,2411568.79630266,194614.036293188,2035653.87082175,2409590.57100263,2802745.46703903,2035653.87082175,2279165.02816624,2543073.20687128,2802745.46703903
"72","Black-throated Gray Warbler",1970,2017,"Setophaga nigrescens",2008,"Western Forest","Mexico-Central America","Parulidae","landbird","M","other","native",3130246,2558225,3733825,2006,2015,"PIF0615","BBS7017",299897.959183673,"Black-throated Gray Warbler",72,5,10,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,2114492.32982319,378699.932602672,1380816.52009633,2107196.0488641,2872261.34708442,1380816.52009633,1853910.05209617,2367188.55047712,2872261.34708442,5084222.09517618,504949.691162833,4101242.24940508,5077070.96999567,6101539.60721938,4101242.24940508,4739205.54497649,5423199.56648193,6101539.60721938,3129526.59746115,299124.571638959,2542176.80643317,3127066.06064216,3721049.91249089,2542176.80643317,2926435.97872822,3330916.99564188,3721049.91249089
"73","Black-throated Green Warbler",1970,2017,"Setophaga virens",2012,"Boreal Forest","Mexico-Central America","Parulidae","landbird","M","other","native",9177716,7924382,10581319,2006,2015,"PIF0615","BBS7017",677790.051020408,"Black-throated Green Warbler",73,5,3,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-1637066.28145457,752954.250379157,-3189101.75058434,-1601943.6608521,-244130.713239322,-3189101.75058434,-2127536.45595193,-1121259.33263721,-244130.713239322,7682999.47751955,595134.443870194,6523170.29960883,7686290.32584159,8844058.84108064,6523170.29960883,7278114.40436148,8081938.44410421,8844058.84108064,9172617.21434174,677424.808424271,7835054.61248966,9184848.51999087,10484013.4594143,7835054.61248966,8717066.1022471,9635090.45136001,10484013.4594143
"74","Black-throated Sparrow",1970,2017,"Amphispiza bilineata",1838,"Aridlands","Southwestern Aridlands","Passerellidae","landbird","M","other","native",31040032,26228164,36813986,2006,2015,"PIF0615","BBS7017",2700464.79591837,"Black-throated Sparrow",74,7,2,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,20430634.5568849,3519360.6489155,13709640.7738943,20359117.9920005,27518546.3828881,13709640.7738943,18047509.7128458,22755640.1430993,27518546.3828881,49859614.6472424,4523799.44787669,41147410.2094005,49855387.2289171,58597757.1784694,41147410.2094005,46721774.806622,52939613.2585346,58597757.1784694,31034457.1398445,2709853.24255741,25745847.7005049,31066770.5124609,36339497.3858187,25745847.7005049,29203294.8924833,32873904.5600985,36339497.3858187
"75","Black-whiskered Vireo",1993,2017,"Vireo altiloquus",1362,"Eastern Forest","South America","Vireonidae","landbird","M","other","native",84242,1998,207072,2006,2015,"PIF0615","BBS9317",52314.7959183673,"Black-whiskered Vireo",75,6,5,"Vireonidae",67,"landbird",1,"M",2,"other",2,"native",2,19242.7128253321,43623.3574482495,-73435.3309328437,16626.8515834805,106631.003822099,-73435.3309328437,0.0761974681457827,42611.3858271805,106631.003822099,112585.215854637,66516.7904449717,1.28143841617915,109932.970702989,250147.298239785,1.28143841617915,64319.725659201,157167.823888042,250147.298239785,86529.5956292228,50023.0330913726,1,85291.712355994,187759.806437968,1,50334.7868674501,120551.860508091,187759.806437968
"76","Blackburnian Warbler",1970,2017,"Setophaga fusca",1991,"Boreal Forest","South America","Parulidae","landbird","M","other","native",13271149,10865077,16109037,2006,2015,"PIF0615","BBS7017",1337744.89795918,"Blackburnian Warbler",76,6,3,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-1414234.06045169,866270.073456559,-3223926.8114619,-1383241.20699852,203288.368153793,-3223926.8114619,-1964933.33354391,-830687.067866202,203288.368153793,12363021.5955256,1250270.69381531,9909760.93616633,12353819.5143322,14799514.1715501,9909760.93616633,11534351.6982225,13216302.2992923,14799514.1715501,13260328.2106786,1323527.49119639,10662345.0667047,13267779.1249592,15803443.2443939,10662345.0667047,12381512.402771,14166089.22543,15803443.2443939
"77","Blackpoll Warbler",1970,2017,"Setophaga striata",1994,"Boreal Forest","South America","Parulidae","landbird","M","other","native",59716232,45066327,76124820,2006,2015,"PIF0615","BBS7017",7923084.94897959,"Blackpoll Warbler",77,6,3,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,301325670.371602,50439235.4407597,207954897.378951,298946411.659148,406547444.075907,207954897.378951,266649358.468796,333603193.178945,406547444.075907,352030276.381092,55501230.3912247,249483606.995834,349886363.712065,466804688.608164,249483606.995834,314002235.734401,387466016.727133,466804688.608164,59538634.6463752,7863793.91401408,44171434.8126408,59552307.2147402,74711272.247857,44171434.8126408,54321050.6121849,64740771.074892,74711272.247857
"78","Blue Grosbeak",1970,2017,"Passerina caerulea",2058,"Forest Generalist","Mexico-Central America","Cardinalidae","landbird","M","other","native",20938581,19404702,22644996,2006,2015,"PIF0615","BBS7017",826605.612244898,"Blue Grosbeak",78,5,6,"Cardinalidae",14,"landbird",1,"M",2,"other",2,"native",2,-7141122.99105327,788888.594868885,-8754852.05115595,-7128690.32444302,-5640653.8827565,-8754852.05115595,-7656312.14675358,-6607890.95775594,-5640653.8827565,15208359.5152965,618239.37827926,14028004.58597,15209412.9044219,16436954.9724651,14028004.58597,14788238.0014752,15620132.5189257,16436954.9724651,20944182.5970859,835017.289001046,19321371.1593166,20937037.5415766,22617668.2124067,19321371.1593166,20383641.1944246,21504693.9978374,22617668.2124067
"79","Blue Jay",1970,2017,"Cyanocitta cristata",1382,"Eastern Forest","Temperate North America","Corvidae","landbird","M","other","native",17238587,15864197,18715069,2006,2015,"PIF0615","BBS7017",727263.265306122,"Blue Jay",79,8,5,"Corvidae",21,"landbird",1,"M",2,"other",2,"native",2,5392124.13372641,503339.965893186,4432929.61723249,5386145.60334059,6389851.0101353,4432929.61723249,5049865.76632997,5723290.17332458,6389851.0101353,22276783.2964164,951988.539846947,20426621.8132403,22275047.1649809,24148931.5117874,20426621.8132403,21641338.870892,22913056.5234145,24148931.5117874,17236214.5330641,729354.487119682,15810499.1921945,17234473.3854708,18667122.7526425,15810499.1921945,16743853.7510527,17728752.7754195,18667122.7526425
"80","Blue-gray Gnatcatcher",1970,2017,"Polioptila caerulea",1506,"Habitat Generalist","Widespread","Polioptilidae","landbird","M","other","native",229194394,195048713,266969269,2006,2015,"PIF0615","BBS7017",18347080.6122449,"Blue-gray Gnatcatcher",80,9,8,"Polioptilidae",47,"landbird",1,"M",2,"other",2,"native",2,-31470292.2176972,10246859.1058901,-52142624.9935266,-31095319.6349423,-12143800.1769916,-52142624.9935266,-38327727.6467179,-24433826.2315062,-12143800.1769916,199599776.454584,16153693.7200372,167860381.149891,199613786.238003,231301222.406355,167860381.149891,188837196.898063,210322052.415057,231301222.406355,229296137.11297,18359350.2354013,193415427.109351,229160789.018037,265400507.288877,193415427.109351,217040031.172363,241557398.195817,265400507.288877
"81","Blue-headed Vireo",1970,2017,"Vireo solitarius",1355,"Boreal Forest","Mexico-Central America","Vireonidae","landbird","M","other","native",12765014,11050138,14721085,2006,2015,"PIF0615","BBS7017",936466.071428571,"Blue-headed Vireo",81,5,3,"Vireonidae",67,"landbird",1,"M",2,"other",2,"native",2,-11489213.4490864,1415223.25515994,-14457713.6287284,-11403213.0757692,-8940224.65184427,-14457713.6287284,-12403021.5261189,-10493195.7536781,-8940224.65184427,3874552.21693702,294434.418143407,3307230.18417566,3873642.69035639,4463400.61423389,3307230.18417566,3678757.52647359,4067876.78083532,4463400.61423389,12772112.5379297,935768.689930789,10941963.7033671,12781957.9446168,14623533.6422545,10941963.7033671,12141996.0570212,13390011.8885792,14623533.6422545
"82","Blue-winged Teal",1970,2017,"Spatula discors",38,"Wetland","Widespread","Anatidae","waterfowl","M","other","native",7879800,7110600,8648900,2013,2017,"FWS1317","FWS7017",392423.469387755,"Blue-winged Teal",82,9,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,-3378942.21727216,984716.219827596,-5480780.39516476,-3330130.12789906,-1632966.53197278,-5480780.39516476,-3993820.0992791,-2697899.46630757,-1632966.53197278,4429709.34082355,323152.961662461,3830003.65239028,4417916.99164667,5092924.46471942,3830003.65239028,4207274.85493088,4642008.8575032,5092924.46471942,7883593.81297254,392499.153550854,7116382.66811355,7885524.12718945,8650146.27563221,7116382.66811355,7617315.69092183,8150012.55899656,8650146.27563221
"83","Blue-winged Warbler",1970,2017,"Vermivora cyanoptera",1953,"Eastern Forest","Mexico-Central America","Parulidae","landbird","M","other","native",684415,578230,803348,2006,2015,"PIF0615","BBS7017",57428.0612244898,"Blue-winged Warbler",83,5,5,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,379693.644344205,54781.5128665549,276080.047432693,378776.416649201,489445.832162998,276080.047432693,341965.178406282,416483.463025168,489445.832162998,1019272.95992874,87633.8399863517,848672.904111199,1019859.0476357,1187244.99481998,848672.904111199,958929.340320933,1079313.49307819,1187244.99481998,684026.184417957,57827.3020388218,570274.159489594,684014.348311917,795427.464110218,570274.159489594,644599.618592531,723812.848304962,795427.464110218
"84","Boat-tailed Grackle",1970,2017,"Quiscalus major",1940,"Wetland","Temperate North America","Icteridae","landbird","R","other","native",2156489,1297665,3550285,2006,2015,"PIF0615","BBS7017",574647.959183673,"Boat-tailed Grackle",84,8,11,"Icteridae",29,"landbird",1,"R",3,"other",2,"native",2,957452.726584924,367796.182126431,321165.723367788,931227.892735898,1757477.22042751,321165.723367788,695447.469645729,1186164.96686512,1757477.22042751,3045535.09184162,827201.821700091,1455255.17197165,3041302.58654421,4686932.67633545,1455255.17197165,2483934.96646337,3594893.70986521,4686932.67633545,2153656.38512457,579722.374662873,1031255.56687783,2154158.80393832,3312009.8971287,1031255.56687783,1762135.41103049,2542383.3976128,3312009.8971287
"85","Bobolink",1970,2017,"Dolichonyx oryzivorus",1887,"Grassland","South America","Icteridae","landbird","M","other","native",10195298,8796086,11917384,2006,2015,"PIF0615","BBS7017",796249.489795918,"Bobolink",85,6,7,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,15767784.4204192,1444174.52260888,12968002.1785735,15748003.5028736,18661813.8929045,12968002.1785735,14792084.9639979,16726830.9247144,18661813.8929045,25069902.6904282,1992307.71470957,21195742.7317627,25089333.7341335,28986430.317632,21195742.7317627,23715678.6886401,26406339.1224879,28986430.317632,10191639.6059018,796529.884378995,8630995.44671446,10193714.2800148,11752983.6302801,8630995.44671446,9648324.93158794,10729169.170457,11752983.6302801
"86","Bohemian Waxwing",1993,2017,"Bombycilla garrulus",1637,"Boreal Forest","Temperate North America","Bombycillidae","landbird","M","other","native",2507863,1641840,3491482,2006,2015,"PIF0615","BBS9317",471847.448979592,"Bohemian Waxwing",86,8,3,"Bombycillidae",11,"landbird",1,"M",2,"other",2,"native",2,2818576.4352773,684256.056148009,1522360.22024001,2793187.75160243,4200289.06980246,1522360.22024001,2342556.19430195,3267001.11900643,4200289.06980246,4928080.97317826,944383.410920981,3089511.27031806,4914158.0060863,6822362.68743856,3089511.27031806,4295605.22799711,5553871.65425598,6822362.68743856,2504862.38779218,465773.193609203,1588815.20453678,2502859.71029891,3417651.21095499,1588815.20453678,2195394.74186252,2820620.61689144,3417651.21095499
"87","Bonaparte's Gull",1993,2017,"Chroicocephalus philadelphia",570,"Wetland","Coastal","Laridae","waterbird","M","other","native",785266,442937,1198079,2006,2015,"PIF0615","BBS9317",192638.265306122,"Bonaparte's Gull",87,2,11,"Laridae",32,"waterbird",4,"M",2,"other",2,"native",2,79897.726045123,185329.320839441,-339208.648888058,90980.9061798176,414371.75348933,-339208.648888058,-25848.3758674696,198766.865441796,414371.75348933,877437.594067121,222035.098361826,448181.744368646,878416.34558139,1327418.5608598,448181.744368646,726504.637352153,1027533.56609402,1327418.5608598,784063.184198739,193196.013823372,404713.361520238,785633.549680367,1162427.1927969,404713.361520238,654815.390818582,914383.996762753,1162427.1927969
"88","Boreal Chickadee",1970,2017,"Poecile hudsonicus",1440,"Boreal Forest","Temperate North America","Paridae","landbird","R","other","native",13208240,10477170,16444759,2006,2015,"PIF0615","BBS7017",1522344.13265306,"Boreal Chickadee",88,8,3,"Paridae",37,"landbird",1,"R",3,"other",2,"native",2,1464952.71924806,1272812.46163479,-1113528.99686528,1505686.198209,3861348.4736041,-1113528.99686528,634186.008251513,2319045.88584789,3861348.4736041,14748926.1228568,1756962.74930533,11393851.0077446,14748705.9878223,18238302.6148623,11393851.0077446,13564381.8578283,15935005.7841333,18238302.6148623,13207421.4103298,1529316.05962582,10251927.6068229,13217218.2750048,16233190.4382781,10251927.6068229,12172729.5834676,14244778.0462613,16233190.4382781
"89","Brandt's Cormorant",1970,2017,"Phalacrocorax penicillatus",717,"Coasts","Coastal","Phalacrocoracidae","waterbird","M","other","native",125000,81250,168750,1989,1991,"BNA1998","CBC7017",22321.4285714286,"Brandt's Cormorant",89,2,4,"Phalacrocoracidae",42,"waterbird",4,"M",2,"other",2,"native",2,-321627.2068719,95629.2120192556,-538272.962122823,-310653.375604802,-167459.389130528,-538272.962122823,-379008.941586999,-253540.298605502,-167459.389130528,69375.5950924607,13465.7319226171,44131.7680914074,68897.2467463566,96874.1730280107,44131.7680914074,60249.6675185927,78114.2516637326,96874.1730280107,124887.686529272,22244.921147675,81581.3671331689,124706.646611052,168948.199050448,81581.3671331689,109901.142961928,139947.63475553,168948.199050448
"90","Brant",2000,2016,"Branta bernicla",20,"Arctic Tundra","Coastal","Anatidae","waterfowl","M","other","native",403482,363134,443830,2013,2015,"CAFF18","CAFF",20585.7142857143,"Brant",90,2,1,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,289796.908384639,59727.5520566574,173846.784345011,289313.24320073,407546.21029421,173846.784345011,250881.997692314,329077.602309969,407546.21029421,671732.55794991,51989.6277529071,573907.388999532,669421.106138513,777382.615139085,573907.388999532,636581.059994349,705866.717177694,777382.615139085,403316.912670987,20491.4623889724,363352.914511541,403361.828100952,443739.023472745,363352.914511541,389631.090086677,416933.350345062,443739.023472745
"91","Brewer's Blackbird",1970,2017,"Euphagus cyanocephalus",1938,"Habitat Generalist","Temperate North America","Icteridae","landbird","M","other","native",23324285,20136678,27110785,2006,2015,"PIF0615","BBS7017",1779108.92857143,"Brewer's Blackbird",91,8,8,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,33835412.1018665,2927140.6684444,28192107.392804,33812119.2773176,39752399.5076775,28192107.392804,31875580.4075967,35771608.4228654,39752399.5076775,54750361.5651338,4277095.46619333,46405441.7848662,54775006.3190319,62966663.165827,46405441.7848662,51841188.9940951,57595146.8686257,62966663.165827,23293030.3936595,1799085.05186029,19770839.0036771,23291913.6154475,26780833.024909,19770839.0036771,22070773.271058,24505496.9479728,26780833.024909
"92","Brewer's Sparrow",1970,2017,"Spizella breweri",1831,"Aridlands","Southwestern Aridlands","Passerellidae","landbird","M","other","native",16834981,13155782,21238196,2006,2015,"PIF0615","BBS7017",2061840.30612245,"Brewer's Sparrow",92,7,2,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,10429279.4759009,2052132.14786106,6598909.38691447,10338286.477549,14627139.5621377,6598909.38691447,9014270.31016216,11775736.3710543,14627139.5621377,26019959.858483,3238727.73403527,19672541.0447567,26002795.4577939,32351185.7815692,19672541.0447567,23834735.412575,28179471.6798686,32351185.7815692,16825620.2336639,2057102.10807502,12765409.6636744,16822153.6188684,20850084.7211907,12765409.6636744,15446928.8237183,18219119.4430739,20850084.7211907
"93","Bridled Titmouse",1993,2017,"Baeolophus wollweberi",1442,"Western Forest","Mexico-Central America","Paridae","landbird","R","other","native",69340,22843,147260,2006,2015,"PIF0615","BBS9317",31739.0306122449,"Bridled Titmouse",93,5,10,"Paridae",37,"landbird",1,"R",3,"other",2,"native",2,-3209.28029959142,38279.1366505124,-100503.708017814,1581.48665376824,57731.1042896393,-100503.708017814,-17385.5491672423,18680.0927509209,57731.1042896393,77786.3459954051,36812.3551131644,6285.6010533572,76305.7017245798,153338.501887578,6285.6010533572,52433.0071684531,102265.784916516,153338.501887578,69316.290932621,31506.9309767078,5880.03479932383,68899.7448749475,130687.630547826,5880.03479932383,47653.9944882464,90924.8089300335,130687.630547826
"94","Broad-tailed Hummingbird",1970,2017,"Selasphorus platycercus",340,"Western Forest","Mexico-Central America","Trochilidae","landbird","M","other","native",8804795,5880867,12313443,2006,2015,"PIF0615","BBS7017",1640963.26530612,"Broad-tailed Hummingbird",94,5,10,"Trochilidae",62,"landbird",1,"M",2,"other",2,"native",2,9120153.22434787,1880126.20526079,5584362.31696137,9076422.74693764,12970834.9198029,5584362.31696137,7821122.28940143,10340951.961684,12970834.9198029,17091234.4284176,3209031.03595517,10831911.3435871,17103355.6229578,23414852.6676651,10831911.3435871,14907638.953566,19201840.0697125,23414852.6676651,8789359.07085239,1638940.36834319,5606215.86343756,8808148.13095465,11988105.1548899,5606215.86343756,7679313.00162059,9890119.92614573,11988105.1548899
"95","Broad-winged Hawk",1970,2017,"Buteo platypterus",820,"Forest Generalist","Widespread Neotropical","Accipitridae","landbird","M","other","native",1804126,1598612,2029385,2006,2015,"PIF0615","BBS7017",109891.071428571,"Broad-winged Hawk",95,10,6,"Accipitridae",1,"landbird",1,"M",2,"other",2,"native",2,-611769.96610032,94628.4792776871,-807452.945443241,-607240.074069643,-438944.587667713,-807452.945443241,-673231.753111802,-546812.776215224,-438944.587667713,1314447.83951355,80825.3862280148,1157350.7411865,1313740.39858252,1472988.09624479,1157350.7411865,1259558.82687124,1368470.82755141,1472988.09624479,1803920.18510728,109256.828552127,1588629.12404036,1803888.05203739,2018343.38883706,1588629.12404036,1729765.26644032,1876978.04892048,2018343.38883706
"96","Bronzed Cowbird",1970,2017,"Molothrus aeneus",1932,"Aridlands","Widespread Neotropical","Icteridae","landbird","M","other","native",816191,439751,1339476,2006,2015,"PIF0615","BBS7017",229521.683673469,"Bronzed Cowbird",96,10,2,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,-110066.360459113,125176.787906983,-393595.727666895,-95017.3453712958,98013.6265509637,-393595.727666895,-179899.16517616,-25694.8778429997,98013.6265509637,738285.962408993,210156.474310071,333739.69355401,739704.182540556,1152585.83156611,333739.69355401,594486.587166605,878063.032378273,1152585.83156611,814926.822486425,229795.034603659,370058.456154655,817414.375540938,1265371.15601476,370058.456154655,656681.061148487,969342.637638092,1265371.15601476
"97","Brown Creeper",1970,2017,"Certhia americana",1453,"Forest Generalist","Temperate North America","Certhiidae","landbird","M","other","native",9484338,7757209,11639138,2006,2015,"PIF0615","BBS7017",990288.010204082,"Brown Creeper",97,8,6,"Certhiidae",16,"landbird",1,"M",2,"other",2,"native",2,-2497050.5270612,563519.687783547,-3684743.70446753,-2473329.98186471,-1474737.55601524,-3684743.70446753,-2860847.37833414,-2102234.41405709,-1474737.55601524,7518294.25825204,793631.427314423,5960272.77984922,7509276.85800616,9076399.98892118,5960272.77984922,6981093.43423402,8045211.47468142,9076399.98892118,9477474.98145163,994260.684872111,7530128.30162944,9473914.18040957,11433021.7163659,7530128.30162944,8802668.22203583,10162284.3216108,11433021.7163659
"98","Brown Pelican",1970,2017,"Pelecanus occidentalis",725,"Coasts","Coastal","Pelecanidae","waterbird","M","other","native",100000,90000,110000,1998,2000,"BNA2014","BBS7017",5102.04081632653,"Brown Pelican",98,2,4,"Pelecanidae",41,"waterbird",4,"M",2,"other",2,"native",2,-137478.794961549,59980.3438348257,-281198.808763239,-127895.9022233,-49099.4849012324,-281198.808763239,-170051.88181922,-94737.2843514526,-49099.4849012324,48167.2636166558,6912.30093325322,36157.7910937547,47753.062697621,62986.2851867242,36157.7910937547,43236.6056986004,52541.1154673995,62986.2851867242,99999.3490991733,5099.93526240306,89919.5536099218,100006.958582033,109887.685281445,89919.5536099218,96559.4398300177,103461.519903869,109887.685281445
"99","Brown Thrasher",1970,2017,"Toxostoma rufum",1622,"Eastern Forest","Temperate North America","Mimidae","landbird","M","other","native",6168180,5625720,6771313,2006,2015,"PIF0615","BBS7017",292243.112244898,"Brown Thrasher",99,8,5,"Mimidae",33,"landbird",1,"M",2,"other",2,"native",2,3617906.76227747,241642.71709957,3150763.18076342,3615760.43790618,4099052.6117509,3150763.18076342,3452014.57193242,3783047.00823032,4099052.6117509,9524071.56511883,449749.67824335,8632179.31052048,9519082.63728852,10398908.4207874,8632179.31052048,9221609.74824527,9825586.01904509,10398908.4207874,6167242.74717351,289220.588690709,5594723.33592816,6165509.76886715,6727206.31504256,5594723.33592816,5972739.93339365,6363696.1297376,6727206.31504256
"100","Brown-crested Flycatcher",1970,2017,"Myiarchus tyrannulus",1250,"Aridlands","Mexico-Central America","Tyrannidae","landbird","M","other","native",1032206,639470,1584755,2006,2015,"PIF0615","BBS7017",241144.132653061,"Brown-crested Flycatcher",100,5,2,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,-1049200.55016484,302491.550536295,-1709808.01909647,-1026770.89233355,-519051.751173563,-1709808.01909647,-1239002.82493266,-837500.255265251,-519051.751173563,254270.631357872,60268.1875405667,135861.871686549,254485.576586011,373838.562831449,135861.871686549,213862.357366266,294116.598246385,373838.562831449,1032195.66960358,241431.379100684,554201.063778356,1034240.78022136,1510788.5652726,554201.063778356,871063.217112147,1193430.96423063,1510788.5652726
"101","Brown-headed Cowbird",1970,2017,"Molothrus ater",1933,"Habitat Generalist","Temperate North America","Icteridae","landbird","M","other","native",126705388,117868557,135950409,2006,2015,"PIF0615","BBS7017",4612717.34693878,"Brown-headed Cowbird",101,8,8,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,40867590.6509513,4448703.92645037,32043465.8978894,40810189.2837003,49634203.0572135,32043465.8978894,37892804.291702,43872676.1677435,49634203.0572135,165720852.564087,6204612.43869264,153590675.539492,165631114.102481,178171117.612324,153590675.539492,161608525.439797,169869359.86532,178171117.612324,126652680.493517,4630501.45505917,117619260.297264,126593249.19159,135822559.600389,117619260.297264,123563102.569485,129728487.297883,135822559.600389
"102","Brown-headed Nuthatch",1970,2017,"Sitta pusilla",1452,"Eastern Forest","Temperate North America","Sittidae","landbird","R","other","native",1578602,1352620,1826550,2006,2015,"PIF0615","BBS7017",120900.510204082,"Brown-headed Nuthatch",102,8,5,"Sittidae",56,"landbird",1,"R",3,"other",2,"native",2,289975.428870395,88495.5371588009,115177.766841047,289769.50929197,463923.435889316,115177.766841047,232024.752295368,349422.294165096,463923.435889316,1875501.3417104,145932.873419334,1589261.68863637,1874047.70998987,2165624.37905192,1589261.68863637,1777862.25590497,1973866.96993393,2165624.37905192,1578547.14107268,120663.500025082,1341607.68965739,1577911.92899773,1817870.95472713,1341607.68965739,1497699.31298705,1660798.07367787,1817870.95472713
"103","Buff-breasted Sandpiper",1974,2016,"Calidris subruficollis",504,"Arctic Tundra","South America","Scolopacidae","shorebird","M","other","native",56000,35000,78000,2011,2013,"Shoreb12","Mig7416",10969.387755102,"Buff-breasted Sandpiper",103,6,1,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-21455.0587963618,19484.2509281754,-68567.8434990751,-17818.0522957178,6015.8755153506,-68567.8434990751,-31206.5203891785,-7940.55484413872,6015.8755153506,37557.5822824522,9375.09276997858,20945.454811382,36910.6244760022,57514.9725677337,20945.454811382,31022.9550910548,43305.090309155,57514.9725677337,56245.0743469749,10970.0802249328,35004.2592614354,56157.9848826708,78088.2085506358,35004.2592614354,48946.8538126591,63581.7752792788,78088.2085506358
"104","Bufflehead",1970,2017,"Bucephala albeola",72,"Wetland","Temperate North America","Anatidae","waterfowl","M","other","native",1400000,1050000,1750000,2004,2006,"SeDu07","BBS7017",178571.428571429,"Bufflehead",104,8,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,-1723219.25804994,364254.486384945,-2510939.41830945,-1695060.26085165,-1096024.86408398,-2510939.41830945,-1948697.04900376,-1464111.66777808,-1096024.86408398,450822.826252015,63610.3693835758,329344.699824204,450031.112451691,578045.215913499,329344.699824204,406838.452096158,493277.309285683,578045.215913499,1398296.6191745,178905.711578433,1047059.15150762,1399897.30291243,1744201.72928466,1047059.15150762,1279170.9816812,1519270.83595047,1744201.72928466
"105","Bullock's Oriole",1970,2017,"Icterus bullockii",1916,"Western Forest","Mexico-Central America","Icteridae","landbird","M","other","native",6949229,6086900,7839504,2006,2015,"PIF0615","BBS7017",447092.857142857,"Bullock's Oriole",105,5,10,"Icteridae",29,"landbird",1,"M",2,"other",2,"native",2,2388016.90036944,388557.778084939,1636574.97267845,2384336.20753099,3162794.16498246,1636574.97267845,2124123.04601378,2646157.9073785,3162794.16498246,9223481.74644832,604456.06703087,8047606.44975997,9219047.30537897,10426688.4334076,8047606.44975997,8822114.26770834,9633026.50433025,10426688.4334076,6951316.59594529,446698.4002146,6092791.87159984,6947639.27003433,7835023.48199089,6092791.87159984,6654653.89640706,7253799.13367731,7835023.48199089
"106","Burrowing Owl",1970,2017,"Athene cunicularia",856,"Grassland","Temperate North America","Strigidae","landbird","M","other","native",987921,625174,1537376,2006,2015,"PIF0615","BBS7017",232704.591836735,"Burrowing Owl",106,8,7,"Strigidae",57,"landbird",1,"M",2,"other",2,"native",2,311365.593934248,113517.828834598,110366.842477092,302890.558500415,554556.874756094,110366.842477092,231378.993974372,382590.829067417,554556.874756094,1313319.8361122,311388.746186442,696841.747680001,1315191.4846126,1923719.84084522,696841.747680001,1102586.23637038,1523415.43120059,1923719.84084522,987192.398856725,233235.05767481,522903.370579361,989094.506358968,1442257.46537572,522903.370579361,829196.59782078,1144375.66541284,1442257.46537572
"107","Bushtit",1970,2017,"Psaltriparus minimus",1448,"Western Forest","Temperate North America","Aegithalidae","landbird","R","other","native",2310447,1807618,2949870,2006,2015,"PIF0615","BBS7017",291390.816326531,"Bushtit",107,8,10,"Aegithalidae",2,"landbird",1,"R",3,"other",2,"native",2,894445.097436441,274381.782416094,369867.699275592,890154.196232843,1450769.99327015,369867.699275592,709451.754817936,1074268.26733507,1450769.99327015,3157475.43675454,416007.569136633,2342211.07768826,3152814.81087095,3978144.57501652,2342211.07768826,2877178.64129411,3437797.62441894,3978144.57501652,2311001.51485272,294855.795770008,1727979.9847213,2310297.66932021,2881814.29131843,1727979.9847213,2113264.1540501,2509594.64540842,2881814.29131843
