"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"502","Wild Turkey",1970,2017,"Meleagris gallopavo",137,"Forest Generalist","Temperate North America","Phasianidae","landbird","R","other","native",6750000,6075000,7425000,2008,2010,"BNA2014","BBS7017",344387.755102041,"Wild Turkey",502,8,6,"Phasianidae",43,"landbird",1,"R",3,"other",2,"native",2,-11474374.2982256,1407958.40780826,-14497604.0492511,-11387001.180128,-8943447.42916137,-14497604.0492511,-12365285.5456566,-10510164.8975086,-8943447.42916137,351838.710878775,25743.0724541075,303706.304867939,351117.412794238,404625.179634551,303706.304867939,333992.185864299,368479.125725458,404625.179634551,6749179.96983443,347589.904769712,6071146.19018593,6750057.24735174,7425095.77212448,6071146.19018593,6513617.43141382,6985623.49643996,7425095.77212448
"503","Willet",1970,2017,"Tringa semipalmata",525,"Wetland","Coastal","Scolopacidae","shorebird","M","other","native",250000,100000,625000,2011,2013,"Shoreb12","BBS7017",133928.571428571,"Willet",503,2,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,71021.3267255667,43384.0805808056,0.358381616030812,66249.4041586992,167584.300236582,0.358381616030812,39345.1714347537,97441.7443543213,167584.300236582,321181.321604984,164674.842045789,1.31469401257243,319695.302612379,649488.478396546,1.31469401257243,206942.337658364,432664.305308932,649488.478396546,253713.109711911,129704.918631874,1,252499.119743564,514466.919163495,1,163306.969695567,341734.27436059,514466.919163495
"504","Williamson's Sapsucker",1970,2017,"Sphyrapicus thyroideus",953,"Western Forest","Temperate North America","Picidae","landbird","M","other","native",294829,209789,398019,2006,2015,"PIF0615","BBS7017",48017.8571428571,"Williamson's Sapsucker",504,8,10,"Picidae",45,"landbird",1,"M",2,"other",2,"native",2,-38269.8807537883,33713.6726607052,-113298.683392803,-35021.0458668241,19986.940457746,-113298.683392803,-58385.9431786215,-14818.5979948174,19986.940457746,265859.319018272,44750.0173306373,178586.794344722,265912.159261277,353256.235161271,178586.794344722,235333.565612137,295879.688478976,353256.235161271,294671.117225775,48656.3208761682,198701.410179104,294756.794489266,389621.673130943,198701.410179104,262083.796653382,328038.729525341,389621.673130943
"505","Willow Flycatcher",1970,2017,"Empidonax traillii",1305,"Eastern Forest","Widespread Neotropical","Tyrannidae","landbird","M","other","native",8095093,6902363,9486416,2006,2015,"PIF0615","BBS7017",659197.193877551,"Willow Flycatcher",505,10,5,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,2967659.88168825,535728.114140935,1950986.24538924,2955198.32841242,4046248.2079052,1950986.24538924,2598930.00656613,3324790.26570076,4046248.2079052,10838141.9581264,893997.426528097,9103047.72548275,10833074.485693,12596883.5473423,9103047.72548275,10221146.0216721,11443147.4658516,12596883.5473423,8092827.47223936,657518.447264421,6813466.39033633,8090756.54666744,9376239.24174998,6813466.39033633,7643764.91695908,8535278.39834549,9376239.24174998
"506","Willow Ptarmigan",1993,2017,"Lagopus lagopus",129,"Arctic Tundra","Temperate North America","Phasianidae","landbird","M","other","native",12784429,7232901,21298386,2006,2015,"PIF0615","BBS9317",3588133.92857143,"Willow Ptarmigan",506,8,1,"Phasianidae",43,"landbird",1,"M",2,"other",2,"native",2,-1675474.9216738,6636610.28311955,-18832172.0498558,-449766.063457182,7742157.43601176,-18832172.0498558,-4434008.18143149,2576523.83182566,7742157.43601176,12962941.6997967,3900151.87039963,5809926.04058098,12762263.392631,21097554.0450777,5809926.04058098,10279978.9748526,15449479.3095324,21097554.0450777,12821177.1188419,3532364.14310147,5934124.72236503,12763292.5705749,19911516.5603861,5934124.72236503,10446971.4462416,15159847.0039027,19911516.5603861
"507","Wilson's Phalarope",1970,2017,"Phalaropus tricolor",532,"Wetland","South America","Scolopacidae","shorebird","M","other","native",1500000,600000,3750000,2011,2013,"Shoreb12","BBS7017",803571.428571429,"Wilson's Phalarope",507,6,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,75665.5685856796,219060.163377137,-366688.826319965,57607.5467922792,551099.472762544,-366688.826319965,-29816.9530700767,192081.509249075,551099.472762544,1650063.44965667,860587.967710088,1.14545053597029,1643821.38248914,3373011.41505687,1.14545053597029,1026083.66567657,2234328.7976329,3373011.41505687,1515310.95369881,784229.602972426,1,1513017.86578793,3078170.86743397,1,947374.168163132,2051648.27670562,3078170.86743397
"508","Wilson's Plover",1970,2017,"Charadrius wilsonia",458,"Coasts","Coastal","Charadriidae","shorebird","M","other","native",8600,5733,12900,2011,2013,"Shoreb12","CBC7017",1828.31632653061,"Wilson's Plover",508,2,4,"Charadriidae",17,"shorebird",3,"M",2,"other",2,"native",2,7335.80636462716,4209.65511847517,-1088.23928186882,7330.6421155096,15586.8477779674,-1088.23928186882,4706.11661395139,9951.89829819245,15586.8477779674,18420.5153126667,4800.3212261871,9839.77436328705,18124.6278273606,28629.0632760328,9839.77436328705,15029.9320521437,21418.4518351226,28629.0632760328,8596.63747840729,1814.79409760261,5042.51087475293,8605.98913204131,12121.891632504,5042.51087475293,7387.75069319774,9817.70696596673,12121.891632504
"509","Wilson's Snipe",1970,2017,"Gallinago delicata",516,"Wetland","Widespread","Scolopacidae","shorebird","M","other","native",2000000,800000,5000000,2011,2013,"Shoreb12","BBS7017",1071428.57142857,"Wilson's Snipe",509,9,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-387280.356524788,261396.554963301,-1001790.41536219,-349003.29169724,-0.229978657735428,-1001790.41536219,-537510.987985361,-191673.698100088,-0.229978657735428,1816838.58540436,940384.607335141,0.92432460105881,1795740.88704185,3705918.52079477,0.92432460105881,1150987.94621085,2457727.02840765,3705918.52079477,2022079.78768908,1043317.12512849,1,2001308.2563788,4103551.28329708,1,1282396.82932528,2740340.00095892,4103551.28329708
"510","Wilson's Warbler",1970,2017,"Cardellina pusilla",2023,"Forest Generalist","Mexico-Central America","Parulidae","landbird","M","other","native",81271984,65743361,98288305,2006,2015,"PIF0615","BBS7017",8302281.63265306,"Wilson's Warbler",510,5,6,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,81342364.8266043,10351300.6494384,61883089.5225,81114779.6684424,102358524.214289,61883089.5225,74164058.7302748,88252571.6365817,102358524.214289,157022789.538711,16240218.9173863,124940443.50581,156986152.500939,189113810.067292,124940443.50581,146098730.771392,167863453.250218,189113810.067292,81365588.8898713,8298450.48218516,65027735.6352047,81366924.1151825,97682882.8724423,65027735.6352047,75848577.1481892,86924017.8221075,97682882.8724423
"511","Winter Wren",1970,2017,"Troglodytes hiemalis",1467,"Boreal Forest","Temperate North America","Troglodytidae","landbird","M","other","native",11140437,9052643,13798379,2006,2015,"PIF0615","BBS7017",1210646.93877551,"Winter Wren",511,8,3,"Troglodytidae",63,"landbird",1,"M",2,"other",2,"native",2,-2097675.1479038,1243140.80324904,-4757680.91555312,-2013041.82831061,79061.2237820474,-4757680.91555312,-2891924.79745755,-1225847.7342042,79061.2237820474,8335928.57360558,948740.269890711,6505776.15048158,8332083.27442301,10261622.6578119,6505776.15048158,7689878.92208988,8968738.93198813,10261622.6578119,11146021.4164991,1215434.88801054,8779114.36720656,11145796.6569325,13561765.5321128,8779114.36720656,10333655.9791499,11951274.2684148,13561765.5321128
"512","Wood Duck",1970,2017,"Aix sponsa",35,"Wetland","Temperate North America","Anatidae","waterfowl","M","other","native",2148806,1930697,2371212,2006,2015,"PIF0615","BBS7017",112376.275510204,"Wood Duck",512,8,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,-1385298.77493649,127409.842278034,-1645565.60644014,-1381287.8435006,-1143553.37253677,-1645565.60644014,-1469692.36484959,-1298121.72882488,-1143553.37253677,1054965.92784722,57516.1995303849,942523.105195174,1055035.80242254,1167602.340729,942523.105195174,1016336.7848893,1092761.67748587,1167602.340729,2146829.36496402,114165.315339421,1922930.00776492,2147844.40045663,2369896.71024719,1922930.00776492,2070510.02580883,2222915.5831242,2369896.71024719
"513","Wood Stork",1970,2017,"Mycteria americana",706,"Wetland","Widespread Neotropical","Ciconiidae","waterbird","M","other","native",15700,12560,18840,1994,1996,"BNA1999","BBS7017",1602.04081632653,"Wood Stork",513,10,11,"Ciconiidae",18,"waterbird",4,"M",2,"other",2,"native",2,-10680.1424867086,5308.64893496214,-22871.6589114883,-9996.05524050422,-2319.44103756365,-22871.6589114883,-13723.7630777259,-6956.53489154685,-2319.44103756365,12889.2411786938,1796.88224885773,9617.04402920017,12810.7798122351,16695.8192149457,9617.04402920017,11619.8638574991,14049.7252484804,16695.8192149457,15691.4596957419,1577.07139455297,12560.2467496314,15690.9573416908,18795.2258754509,12560.2467496314,14650.5417011406,16750.7856864264,18795.2258754509
