"","Group","nspecies","med","lci","uci","plostmed","plostlci","plostuci","node","proportion.species.decline","n.species.decline"
"Nlost.winter[5]","Mexico-Central America",76,155.53,121.83,188.42,-0.155632150157148,-0.18365984705561,-0.125582108743052,"Nlost.winter[5]",0.526315789473684,40
"Nlost.winter[6]","South America",41,529.26,426.59,644.44,-0.398065283211475,-0.450196666324108,-0.341928219491131,"Nlost.winter[6]",0.75609756097561,31
"Nlost.winter[7]","Southwestern Aridlands",50,238.18,215.76,261.3,-0.419446247805294,-0.445790459084963,-0.392362359920511,"Nlost.winter[7]",0.74,37
"Nlost.winter[8]","Temperate North America",192,1417.6,1299.8,1526.9,-0.275144362272017,-0.293826663191069,-0.254135034925991,"Nlost.winter[8]",0.552083333333333,106
"Nlost.winter[9]","Widespread",60,31.652,-0.43482,62.393,-0.0372090920331706,-0.0724606432520605,0.000515767156391141,"Nlost.winter[9]",0.433333333333333,26
"Nlost.winter[10]","Widespread Neotropical",22,126.39,87.545,171.84,-0.269538038665335,-0.336335329894858,-0.194130397822107,"Nlost.winter[10]",0.454545454545455,10
"Nlost.fam[1]","Accipitridae",16,-5.4863,-6.0141,-4.9848,0.789564925026933,0.718173879378767,0.864851186717308,"Nlost.fam[1]",0.1875,3
"Nlost.fam[2]","Aegithalidae",1,0.89015,0.36987,1.4508,-0.285709349181481,-0.424944677359569,-0.122483606698481,"Nlost.fam[2]",1,1
"Nlost.fam[3]","Alaudidae",1,182.4,158.49,207.08,-0.67442939719491,-0.70777837166522,-0.637821424086615,"Nlost.fam[3]",1,1
"Nlost.fam[4]","Alcedinidae",1,1.5574,1.2718,1.8669,-0.479130923417787,-0.516460375801082,-0.437701034041534,"Nlost.fam[4]",1,1
"Nlost.fam[5]","Alcidae",11,4.3045,-9.3813,16.289,-0.149764431673445,-0.445670656257719,0.354701111752072,"Nlost.fam[5]",0.454545454545455,5
"Nlost.fam[6]","Anatidae",42,-33.451,-57.876,-20.467,0.506994879307553,0.296857275966928,0.870354836891362,"Nlost.fam[6]",0.428571428571429,18
"Nlost.fam[7]","Anhingidae",1,-0.027714,-0.044734,-0.015831,1.08959676259925,0.663282147111352,1.63322002074426,"Nlost.fam[7]",NA,0
"Nlost.fam[8]","Apodidae",4,19.207,17.083,21.38,-0.652506391260286,-0.680660981582678,-0.617047855809345,"Nlost.fam[8]",1,4
"Nlost.fam[9]","Aramidae",1,0.0028063,-0.020949,0.01614,-0.133486108542391,-0.61162681646637,0.88346410747411,"Nlost.fam[9]",1,1
"Nlost.fam[10]","Ardeidae",12,3.3873,2.4366,4.3588,-0.279957319150376,-0.339144063199985,-0.213723221131695,"Nlost.fam[10]",0.583333333333333,7
"Nlost.fam[11]","Bombycillidae",2,-8.0493,-14.535,-2.114,0.138300163812602,0.0356314616131246,0.249461433538265,"Nlost.fam[11]",0.5,1
"Nlost.fam[12]","Calcariidae",5,40.834,-31.018,79.096,-0.322392688259458,-0.605554497377268,0.240860257598012,"Nlost.fam[12]",0.8,4
"Nlost.fam[13]","Caprimulgidae",5,39.264,34.908,44.082,-0.549311082335742,-0.581251262060746,-0.513691192442394,"Nlost.fam[13]",0.6,3
"Nlost.fam[14]","Cardinalidae",14,10.776,1.0661,20.766,-0.0331263023229912,-0.0630400667666489,-0.00329448922689157,"Nlost.fam[14]",0.428571428571429,6
"Nlost.fam[15]","Cathartidae",2,-9.394,-10.567,-8.2766,2.65287547954095,2.37862675406709,2.94080582635179,"Nlost.fam[15]",NA,0
"Nlost.fam[16]","Certhiidae",1,-2.4733,-3.6847,-1.4747,0.329935751993332,0.206842167194351,0.468770139474531,"Nlost.fam[16]",NA,0
"Nlost.fam[17]","Charadriidae",8,1.937,0.88231,3.1434,-0.386405557518603,-0.475083250005101,-0.321740535389391,"Nlost.fam[17]",0.875,7
"Nlost.fam[18]","Ciconiidae",1,-0.0099961,-0.022872,-0.0023194,0.787209956242732,0.178985151765395,1.71771506626318,"Nlost.fam[18]",NA,0
"Nlost.fam[19]","Cinclidae",1,0.02763,0.0037231,0.052452,-0.157245763020375,-0.272841249995979,-0.0213699533109118,"Nlost.fam[19]",1,1
"Nlost.fam[20]","Columbidae",7,-3.7513,-48.085,18.313,0.0201210289745859,-0.0954299882998997,0.255671120162965,"Nlost.fam[20]",0.571428571428571,4
"Nlost.fam[21]","Corvidae",16,6.5646,1.2983,11.381,-0.064630744783254,-0.110874228679819,-0.0128526158148728,"Nlost.fam[21]",0.6875,11
"Nlost.fam[22]","Cuculidae",4,8.9688,7.4274,10.563,-0.47986849645914,-0.537376688103606,-0.413718615848033,"Nlost.fam[22]",0.75,3
"Nlost.fam[23]","Falconidae",6,-0.0372,-0.6231,0.49201,0.00732097003108922,-0.0939530525083859,0.125154559446723,"Nlost.fam[23]",0.333333333333333,2
