"","Breeding.Biome","year","med","lci","uci"
"98","Boreal Forest",1970,0,0,0
"107","Boreal Forest",1971,-4852151.08190179,-62750501.4676552,55247890.8105032
"118","Boreal Forest",1972,-10553683.3516672,-68652434.1292586,47415026.9545692
"116","Boreal Forest",1973,-16719487.7103829,-73509099.3162145,41235697.4862663
"97","Boreal Forest",1974,-22466847.5234659,-82639069.0501649,36920212.0575171
"102","Boreal Forest",1975,-33197385.352977,-97619815.2335303,33673633.6668064
"109","Boreal Forest",1976,-44902160.7770226,-115776309.651518,28607358.5480716
"120","Boreal Forest",1977,-60557430.839884,-139056297.167883,20170322.3360782
"104","Boreal Forest",1978,-78107522.6745346,-164325415.07574,10423110.9481738
"115","Boreal Forest",1979,-100690746.699564,-192518040.058951,-1693308.17510972
"113","Boreal Forest",1980,-120736941.616588,-221321141.744011,-16486783.7322827
"101","Boreal Forest",1981,-143696653.776682,-248256572.50898,-37483239.2961695
"108","Boreal Forest",1982,-167227719.92237,-274572342.841607,-55887862.1041558
"119","Boreal Forest",1983,-187271303.036902,-297613451.858758,-77388614.644688
"117","Boreal Forest",1984,-209081792.366113,-322137105.783523,-91453275.8924641
"105","Boreal Forest",1985,-229952004.499668,-342503357.987847,-114602541.546305
"99","Boreal Forest",1986,-247968837.260018,-361403508.640139,-135522118.802291
"110","Boreal Forest",1987,-267718778.653477,-378426482.411233,-154392716.24937
"121","Boreal Forest",1988,-285687594.169497,-400650356.975303,-171397560.643894
"132","Boreal Forest",1989,-302202478.309019,-418268828.727436,-187641257.521346
"130","Boreal Forest",1990,-316574506.967166,-431779009.995231,-204984785.229684
"128","Boreal Forest",1991,-330079242.940626,-444720577.637417,-220093784.29645
"125","Boreal Forest",1992,-339529475.498257,-452118838.567387,-230146554.886888
"136","Boreal Forest",1993,-352039004.630384,-467112258.005224,-242810562.677784
"143","Boreal Forest",1994,-364017200.79257,-478110062.061666,-259172906.164121
"144","Boreal Forest",1995,-375735657.05687,-489143519.408948,-268486088.330154
"106","Boreal Forest",1996,-387212965.91045,-503746871.25391,-283548250.311137
"100","Boreal Forest",1997,-397387427.682133,-515501495.81868,-294463589.157378
"111","Boreal Forest",1998,-407762147.060461,-521585795.745303,-303004669.670137
"122","Boreal Forest",1999,-418026286.654553,-530104538.245892,-310368999.109102
"133","Boreal Forest",2000,-424563223.640042,-541426804.293127,-322135949.547502
"131","Boreal Forest",2001,-434960791.83154,-549918892.34886,-332240935.795594
"129","Boreal Forest",2002,-440746846.929559,-559157524.92884,-334995121.692994
"126","Boreal Forest",2003,-448363854.334376,-565323233.629204,-341152039.94032
"124","Boreal Forest",2004,-453956858.327124,-571380079.622808,-349152201.296397
"135","Boreal Forest",2005,-460301466.866333,-578424227.519892,-353779398.400043
"142","Boreal Forest",2006,-465618952.777522,-591072380.578691,-356211582.552685
"103","Boreal Forest",2007,-470876413.873013,-596452820.193302,-363307312.597958
"114","Boreal Forest",2008,-474223075.02141,-598133751.003112,-362923550.107333
"112","Boreal Forest",2009,-477443406.472213,-603352354.899514,-368789086.065804
"123","Boreal Forest",2010,-482564611.327196,-607712949.469428,-368930443.990968
"134","Boreal Forest",2011,-483290910.220293,-608215645.255964,-374511788.588465
"137","Boreal Forest",2012,-486049739.104314,-616432206.014544,-374423662.399588
"139","Boreal Forest",2013,-488313654.861251,-618916929.585225,-374345898.912588
"127","Boreal Forest",2014,-491197919.066756,-621188597.599791,-376840542.183954
"138","Boreal Forest",2015,-493621301.73667,-625645652.371473,-376545501.429844
"141","Boreal Forest",2016,-492479845.119153,-617720409.304612,-379455641.138384
"140","Boreal Forest",2017,-493813601.740522,-619841194.879971,-375424955.329191
"146","Coasts",1970,0,0,0
"152","Coasts",1971,21468.7301203012,-5787059.78209327,6153339.54986281
